county,deaths_people,injured_people,houses_destroyed,houses_damaged,affected_people,damages_in_crops,lost_cattle,x,y,constituency_gis,county_x,county_y
TAITA TAVETA,3,1,1,0,0,1,3,-3.28449031,38.28508482,WUNDANYI,-3.434733994,38.418602
KISII,0,0,1,1,2,6,0,-0.70599193,34.82410979,NYARIBARI CHACHE,-0.774603757,34.77472298
KISII,6,2,1,3,4,0,15,-0.901826,34.66245343,NYARIBARI CHACHE,-0.774603757,34.77472298
KAKAMEGA,8,12,4,3,14,5,2,0.19417803,34.72411138,SHINYALU,0.403683464,34.74451115
KIRINYAGA,1,0,0,0,0,0,0,-0.51198237,37.30372319,GICHUGU,-0.524746296,37.31986811
WEST POKOT,23,6,0,0,20,13,12,2.30160238,35.08650174,KAPENGURIA,1.740106171,35.24384681
MURANG'A,2,0,0,5,5,1,0,-0.64852092,36.77203041,MATHIOYA,-0.809590536,37.03272252
MERU,1,0,1,0,0,0,0,-0.02528395,37.682027,NORTH IMENTI,0.166779241,37.76403705
ELEGEYO-MARAKWET,3,3,1,2,8,0,4,0.35764686,35.59208491,MARAKWET EAST,0.802218811,35.53656315
BUNGOMA,3,4,5,0,10,0,3,0.82575453,34.47359398,KANDUYI,0.74928524,34.64046088
WEST POKOT,8,2,2,6,13,5,11,1.48701354,35.64739871,KAPENGURIA,1.740106171,35.24384681
WEST POKOT,11,16,8,6,25,34,8,1.48701354,35.64739871,KAPENGURIA,1.740106171,35.24384681
WEST POKOT,0,0,0,0,0,0,6,1.48701354,35.64739871,KAPENGURIA,1.740106171,35.24384681
MERU,4,1,0,0,3,1,9,0.22739478,37.92068357,NORTH IMENTI,0.166779241,37.76403705
MURANG'A,1,0,0,1,1,0,1,-0.7375552,36.98205783,MATHIOYA,-0.809590536,37.03272252
MURANG'A,1,0,0,3,1,1,3,-0.7375552,36.98205783,MATHIOYA,-0.809590536,37.03272252
MURANG'A,0,0,0,2,2,5,0,-0.87781682,36.98958778,MATHIOYA,-0.809590536,37.03272252
MURANG'A,0,0,0,0,3,2,0,-0.69182551,36.96287956,MATHIOYA,-0.809590536,37.03272252
NYANDARUA,1,0,1,3,3,0,4,-0.40273504,36.50844474,KIPIPIRI,-0.322077822,36.48286916
KERICHO,4,1,0,2,2,0,2,-0.18796729,35.43146008,BELGUT,-0.295732906,35.31407001
KIAMBU,3,0,3,0,1,4,5,-0.91032161,36.68112779,GATUNDU NORTH,-1.068706066,36.82356426
MURANG'A,1,0,1,0,4,0,0,-0.63897502,36.9677687,MATHIOYA,-0.809590536,37.03272252
MURANG'A,0,0,1,1,4,0,21,-0.63897502,36.9677687,MATHIOYA,-0.809590536,37.03272252
MURANG'A,1,0,1,0,1,0,1,-0.63897502,36.9677687,MATHIOYA,-0.809590536,37.03272252
NYERI,0,0,7,0,0,0,2,-0.44587765,37.11625732,KIENI,-0.342923589,36.95647813
MAKUENI,1,0,1,0,1,1,0,-1.66338496,37.4475202,KIBWEZI WEST,-2.1576841,37.78824557
NYERI,2,0,1,0,3,10,16,-0.57794862,37.07631395,KIENI,-0.342923589,36.95647813
KIRINYAGA,0,0,1,0,7,0,0,-0.55073648,37.21905657,GICHUGU,-0.524746296,37.31986811
LAIKIPIA,0,0,0,0,0,0,0,0.40305326,36.61345938,LAIKIPIA NORTH,0.323604123,36.77172786
BARINGO,1,0,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
BARINGO,0,2,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
BARINGO,0,0,0,1,0,0,2,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
BARINGO,1,1,0,0,0,0,0,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
BARINGO,1,0,0,0,0,1,0,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
BARINGO,0,2,0,0,0,0,1,0.36815837,35.75293052,BARINGO CENTRAL,0.66925198,35.94646535
ELEGEYO-MARAKWET,5,5,6,10,13,7,6,0.42115942,35.61421796,MARAKWET EAST,0.802218811,35.53656315
NANDI,0,1,0,0,0,2,4,-0.04571223,35.3083727,MOSOP,0.186688887,35.11048767
ELEGEYO-MARAKWET,14,6,8,2,20,7,12,1.20404919,35.64818661,MARAKWET EAST,0.802218811,35.53656315
ELEGEYO-MARAKWET,10,3,5,6,12,2,4,1.20404919,35.64818661,MARAKWET EAST,0.802218811,35.53656315
